Company,Total Complaints,Average Severity
"Landmark Strategy Group, LLC",2,1.0
"Latham, Wagner, Steele & Lehman, P.C.",2,1.0
"Law Office of Cynthia Hitt Kent, LLC",2,1.0
"Law Office of David A. Bader, LLC",2,1.0
Law Office of Michael R Naughton,2,1.0
Law Office of Monica Guilarte LLC,2,1.0
Layfayette Funding,2,1.0
Leading Mortgage Solutions,2,1.0
Lendtable Inc.,2,1.0
Leon Financial Services,2,1.0
Lexington Mortgage Corporation,2,1.0
"Liberty Finance Co., Inc.",2,1.0
"LifeTree Lending, LLC.",2,1.0
LoanStar Home Lending,2,1.0
M Squared Financial LLC,2,1.0
"MAKENNA KALI & ASSOCIATES, INCORPORATED",2,1.0
MBA Mortgage Services Inc.,2,1.0
"MCS CLAIMS SERVICES, INC",2,1.0
"MERFICAP, LLC",2,1.0
"MILES FUNDING, L.L.C.",2,1.0
MILLS LTD. dba Credit Bureau of Klamath County,2,1.0
MORTGAGE FINANCIAL SERVICES,2,1.0
"MORTGAGE LINK, INC., THE",2,1.0
"Mapother & Mapother, PSC",2,1.0
Marel Consultants Inc,2,1.0
"Maryland Mutual Mortgage, LLC",2,1.0
Master Finance Corporation,2,1.0
Mechoopda Indian Tribe of Chico Rancheria,2,1.0
"Melar Investments, LLC",2,1.0
"Mezu, Inc",2,1.0
"Mezzetti Financial Services, Inc.",2,1.0
"Michaels, Louis & Associates, Inc.",2,1.0
"Michigan Legal Specialists, P.C.",2,1.0
Mid Valley Financial,2,1.0
"Mid-American Financial Group, Inc",2,1.0
"Mid-Atlantic Portfolios, LLC",2,1.0
Middlegate Funding LLC,2,1.0
"Midwest Diversified Recovery Services, LLC",2,1.0
Mike Rome Holdings LLC,2,1.0
Milby Law Offices P.A.,2,1.0
"Monroe Credit, LLC",2,1.0
"Mortgage Lender Services, Inc.",2,1.0
"Mortgage One Solutions, Inc.",2,1.0
"MovoCash, Inc.",2,1.0
"Munar Mortgage, LLC DBA Co/LAB Lending",2,1.0
"Murphy Law Office, LLC",2,1.0
N A NATIONWIDE MORTGAGE,2,1.0
"NORTH HIGHLAND HOLDING COMPANY LLC, THE",2,1.0
NORTHEAST HOME LOAN,2,1.0
NORTHSTAR FUNDING INC,2,1.0
"NOTE SERVICING CENTER, INC.",2,1.0
"National Account Systems of Madison, Inc",2,1.0
National Background Solution,2,1.0
"National Screening Bureau, LLC",2,1.0
National Title Co.,2,1.0
"Nationwide Loan Consultants and Advisors, LLC",2,1.0
Neat Capital Inc.,2,1.0
Niagara Central Revenue,2,1.0
"North Arkansas Abstract & Title Co., Inc.",2,1.0
Northwest Title Company,2,1.0
Ok Finance Group INC,2,1.0
"Olympus Law Firm, PLLC",2,1.0
O’Reilly Rancilio P.C.,2,1.0
PRICE FINANCIAL SERVICES,2,1.0
"PRIME MORTGAGE LENDING, INC",2,1.0
PRIORITY PLUS FINANCIAL LLC,2,1.0
PRODIGY MORTGAGE CORP,2,1.0
PROSPER FIRST FUNDING CORPORATION,2,1.0
"Pankey & Horlock, LLC",2,1.0
Pappas Hayden Westberg & Jackson PC,2,1.0
"Paragon Home Loans, Inc",2,1.0
"Parkstone Mortgage, LLC",2,1.0
Patriot Lending Services Inc,2,1.0
"PayNearMe MT, Inc.",2,1.0
"Personal Asset Recovery, LLC",2,1.0
"Pinnacle Lending Group, Inc.",2,1.0
"Platinum Finance Company, LLC",2,1.0
Premier Capital Investment Group,2,1.0
Premier Lending and Real Estate,2,1.0
"Professional Datasolutions, Inc.",2,1.0
Progressive Debt Relief LLC,2,1.0
Public Auto Sales Inc.,2,1.0
Purpose Funding Inc.,2,1.0
REARDEN S INCORPORATED,2,1.0
REGENCY MORTGAGE CORP.,2,1.0
RETAIL MERCHANTS ASSOCIATION OF LUBBOCK,2,1.0
RGV Loans LLC,2,1.0
"RH Portfolio I, LLC",2,1.0
"RMCN Credit Services, Inc.",2,1.0
ROBERTSON ANSCHUTZ VETTERS,2,1.0
"RUSH COLLECTIONS AGENCY, CORP.",2,1.0
Regional Mediation Associates LLC,2,1.0
"Reliant Home Funding, Inc.",2,1.0
"Results! Dental Collection Services, LLC",2,1.0
"Retail Recovery Service N. J., Inc.",2,1.0
Revol Collections Ltd,2,1.0
"Right Key Mortgage, LLC",2,1.0
Ripple Labs Inc.,2,1.0
Rivertown Credit LLC,2,1.0
Rno Partners Limited,2,1.0
"Rosegate Mortgage, LLC",2,1.0
"Rosen Harwood, P.A.",2,1.0
"Ross Morgan & Associates, LLC",2,1.0
RumbleOn Finance LLC,2,1.0
SC Opportunity Fund LLC,2,1.0
SCENIC OAKS FUNDING,2,1.0
"SHAPIRO LAW OFFICE, PC",2,1.0
SIBCY CLINE MORTGAGE SERVICE,2,1.0
SIMPLE CAR TITLE LOANS INC,2,1.0
"SIRY INC., DBA SIRY AUTO GROUP",2,1.0
"SKY FINANCIAL SERVICES, INC.",2,1.0
"SM Law, PC",2,1.0
"SMI Lending, Inc.",2,1.0
"SOUTH EXCHANGE, INC",2,1.0
STARBOARD FINANCIAL MANAGEMENT,2,1.0
SUN AMERICAN MORTGAGE,2,1.0
SUNSTREET MORTGAGE LLC,2,1.0
"Sagal, Filbert, Quasney & Betten, P. A.",2,1.0
Salmon Law Firm PLLC,2,1.0
Scott’s Jewelry & Pawn Inc.,2,1.0
"Seashine Financial, LLC",2,1.0
SecureNet Loan Services LLC,2,1.0
"Segan, Mason & Mason, P.C.",2,1.0
"Service Investment Company, Inc.",2,1.0
Simple Solutions Credit & Debt Consulting Inc.,2,1.0
"SimpliFast Lending, LLC",2,1.0
Smart Auto Leasing,2,1.0
Solera,2,1.0
South Coast Doc Prep,2,1.0
"South Fork Funding, inc.",2,1.0
"Southern Freedom Financial Services, LLC",2,1.0
Southern Star Automotive Inc.,2,1.0
"Sperlonga Data & Analytics Systems, LLC",2,1.0
"Spina & Lavelle, P.C.",2,1.0
"Sprunger Law Office, LLC",2,1.0
"StanleyAFE, LLC",2,1.0
Sterling  Hill Financial,2,1.0
Stewart Title of Sacramento\Placer,2,1.0
"Stone Creek Financial, Inc",2,1.0
"Straley & Otto, P.A.",2,1.0
Stratus Financial LLC,2,1.0
"Strive Lending, Inc.",2,1.0
Student Debt Consolidation LLC,2,1.0
"Student Loan Control, LLC",2,1.0
Summit Mortgage Corporation,2,1.0
Surepay Lending Group LLC,2,1.0
"Szuba & Associates, PLLC",2,1.0
"T & I Enterprises, LLC",2,1.0
THE GUERRINI LAW FIRM,2,1.0
"THE JUDGE LAW FIRM, A LAW CORPORATION",2,1.0
"TK Credit Recovery, Inc",2,1.0
"TSALTA FINANCIAL COMPANY, LLC",2,1.0
Tal Lewis Incorporated,2,1.0
The Borrowing Club,2,1.0
"The CKB Firm, P.C.",2,1.0
"The Day Law Firm, LLC.",2,1.0
The Dunning Law Firm APC,2,1.0
The Law Office of Ginger Crosby Zuravel,2,1.0
The Rose Law Firm PLLC,2,1.0
"Tier Capital, LLC",2,1.0
Titan Solutions Group LLC,2,1.0
"Titan Title & Closing, LLC",2,1.0
"Town & Country Mortgage Services, INC.",2,1.0
Trinity Reverse Mortgage,2,1.0
"Truemper, Titiner & brouch Ltd",2,1.0
"Unbank Company, LLP",2,1.0
United Home Loan Services Inc.,2,1.0
United Mortgage Lending LLC,2,1.0
"United Mortgage,  LLC",2,1.0
"United Services Veterans Mortgage, LLC",2,1.0
"Urban Settlement Services, LLC",2,1.0
"Virtual Assets, LLC",2,1.0
WESTERN OHIO MORTGAGE,2,1.0
"Wagner Financial Services, Inc.",2,1.0
"Wator & Associates, P.C",2,1.0
Waveland LLC dba FJM,2,1.0
We Finance Inc.,2,1.0
"Wedgewood, LLC",2,1.0
Weissman Attorney at Law,2,1.0
"WestGen Lending, a DBA of Beckam Funding",2,1.0
"Wheels of Chicago, Inc.",2,1.0
Wilson Law. LLC,2,1.0
"World Credit Recovery, LLC",2,1.0
"Xapo, Inc.",2,1.0
"Zero Parallel, LLC",2,1.0
"Zieg Law Group, LLC",2,1.0
"Zimmerman & Zimmerman, P.A.",2,1.0
"Zo Financial, Inc.",2,1.0
"snapfi, inc.",2,1.0
www.TrustScience.com USA Inc.,2,1.0
16 Hands LLC. dba Fiducius,2,1.5
1st Maryland Mortgage Corporation,2,1.5
99th Floor LLC,2,1.5
"ABA Recovery Service, Inc.",2,1.5
ABC Finance Co.,2,1.5
ACS Financial LLC,2,1.5
ADA Brown LLC dba Star of Texas Financial Solutions,2,1.5
"AGS Financial, Inc",2,1.5
AHL Funding,2,1.5
ALG Trustee LLC,2,1.5
ALPHA MORTGAGE CORPORATION,2,1.5
APEX HOME LOANS,2,1.5
"Account Control Services, Inc",2,1.5
"Advance Paychecks,  LLC",2,1.5
"Advansse, Inc",2,1.5
"Advantage Recovery Group, Inc",2,1.5
Allied Enrollment Centers LLC,2,1.5
"Alternative Finance Company, LLC",2,1.5
"America's Mortgage Center, LTD.",2,1.5
"America's Mortgage Lender, L.L.C.",2,1.5
"American 1st Rate Mortgage, LLC",2,1.5
American Billing & Collection,2,1.5
"American Fidelity Mortgage Services, Inc.",2,1.5
"American Financial Mortgage Services, Inc.",2,1.5
"Anchor Mortgage, LLC",2,1.5
"Andesite Finance Company, LLC",2,1.5
Approved Mortgage Corporation,2,1.5
Aries Loans Inc,2,1.5
"Asset Pursuit, LLC",2,1.5
Associates International Holdings Corporation,2,1.5
"Associates Title, Inc.",2,1.5
"BANKERS MORTGAGE LENDING, INC.",2,1.5
"BATON ROUGE FINANCIAL SERVICES, L.L.C.",2,1.5
"BLACK HILLS CHILDREN'S RANCH, INC.",2,1.5
BOVA Financial Group LLC,2,1.5
BROADVIEW MORTGAGE CORPORATION,2,1.5
"Benchmark Capital Management, LLC",2,1.5
Briteside Solutions LLC,2,1.5
"CAC Services, Inc.",2,1.5
CHN Housing Partners,2,1.5
"CR-MPM, LLC dba Don Carro",2,1.5
CREDIGY SOLUTIONS INC.,2,1.5
Capital 1 Consultants,2,1.5
Capital Mortgage,2,1.5
"Capture Financial, LLC",2,1.5
Cash-Installment LLC,2,1.5
Central Valley Receivables,2,1.5
"Chattanooga Neighborhood Enterprise, Inc.",2,1.5
"Citywide Mortgage Associates, Inc.",2,1.5
"Claims Recovery Systems, Inc.",2,1.5
"Clifton Mortgage Services, LLC",2,1.5
Comenity Bank,2,1.5
Commerce Credit Corp.,2,1.5
"Complete Care, Inc.",2,1.5
Cordoba & Associates,2,1.5
Credit Bureau of Northern California Collections Services Inc,2,1.5
Cunningham Law Inc.,2,1.5
Curo Inc.,2,1.5
Currencies Direct Inc.,2,1.5
DCB Financial LLC,2,1.5
DK Auto LLC,2,1.5
David N. Hull Attorney at Law P.C.,2,1.5
"DynaGen Lending, LLC",2,1.5
EQUITABLE MORTGAGE CORPORATION,2,1.5
FINANCIAL INSIGHT,2,1.5
"FMK Credit Education Center, INC",2,1.5
"Figliola & Romano, LLC",2,1.5
"First Peachtree Finance, Inc.",2,1.5
"Fortune Title Agency, Inc.",2,1.5
Freedom Financial Capital LLC,2,1.5
"Freisem, Macon Swann & Malone LLP",2,1.5
"Friedman, Framme & Thrush, P.A.",2,1.5
"Full Service Mortgage Group, LLC",2,1.5
"Gabriel FInancial Group, Inc.",2,1.5
Global DS Group LLC,2,1.5
"Godwin-Jones & Price, P.C.",2,1.5
Goodwill Finance LLC,2,1.5
"Grassland Financial Services, LLC",2,1.5
"Greeneville Collection Service, Inc.",2,1.5
"Groves Capital, Inc.",2,1.5
HAC Holding Inc.,2,1.5
"HANNA, LLP | HANNA LAW, PLLC",2,1.5
"Haines & Krieger, LLC",2,1.5
Hannah Financial LLC,2,1.5
Hawaii Mortgage Experts,2,1.5
Helvetica Servicing Inc.,2,1.5
"Heritage Pacific Financial, LLC",2,1.5
"Hometown Mortgage Services, Inc.",2,1.5
"I. C. Unlimited, Inc.",2,1.5
Insta Financial,2,1.5
"International Debt Buying Consultants, LLC",2,1.5
"Investment Management Company, LLC",2,1.5
Isla Repossesions & Collection Inc,2,1.5
"JAMES A. MOUNGER, PLC",2,1.5
Julem Capital Corp,2,1.5
KIRKSTON MORTGAGE LENDING LLC,2,1.5
"Kopp Collection Service, Inc.",2,1.5
"Kovach Law Firm, PLLC",2,1.5
LAGO Funding Corp.,2,1.5
LAKE MORTGAGE COMPANY INC.,2,1.5
Landmark Mortgage LLC,2,1.5
Law Offices of Brian P. Kowal PA,2,1.5
"Law Offices of Paul L. Marks, P.L.L.C",2,1.5
Legal Alliance Network,2,1.5
"Lending Hand Mortgage, LLC",2,1.5
Lighthouse Acceptance Corporation,2,1.5
"Lipsey, Morrison, Waller & Lipsey, P.C.",2,1.5
"Lucie, Scalf, Sutton & Bougher, Attorney At Law",2,1.5
"M3 Financial Services, Inc.",2,1.5
"MARSH ASSOCIATES, INC.",2,1.5
"MEMBERS MORTGAGE COMPANY, INC.",2,1.5
"MINISTRY BRANDS, LLC",2,1.5
"MM RV JV 1, LLC",2,1.5
"MORTGAGE FINANCIAL SERVICES, INC",2,1.5
MORTGAGE MASTER SERVICE CORPORATION,2,1.5
MTACC Inc.,2,1.5
"Management Core Solutions, Inc.",2,1.5
Maple Finance Company,2,1.5
McGlinchey Stafford PLLC,2,1.5
Missouri Loan Center LLC,2,1.5
"Money Transfer Systems, Inc.",2,1.5
"MotoRefi, Inc.",2,1.5
NORTH AMERICAN FINANCIAL CORP,2,1.5
National Credit Union Administration,2,1.5
National Integrity LLC,2,1.5
Navigant Cymetrix Healthcare,2,1.5
Neil Huffman Automobiles Inc.,2,1.5
Nevada Mortgage,2,1.5
Next Door Lending LLC,2,1.5
"NorthStar Settlement Services, LLC",2,1.5
OMNI MORTGAGE CORP.,2,1.5
Oplis Financial LLC,2,1.5
Orion Title & Escrow LLC,2,1.5
"PIC Capital, Inc. dba Direct Home Lending",2,1.5
"POLI MORTGAGE GROUP, INC.",2,1.5
People Trust,2,1.5
"Perry Law Office, P.C.",2,1.5
Pinnacle Finance LLC,2,1.5
Point Boosters,2,1.5
Premier Account Management,2,1.5
Qualified Home Solutions LLC,2,1.5
"R.M. Jackson & Associates, P.C.",2,1.5
RESIDENTIAL MORTGAGE CORP,2,1.5
RRD Financial LLC,2,1.5
"Rapid Collection Systems, Inc.",2,1.5
"Rate Plus, Inc.",2,1.5
"Real Property Business Services, Inc.",2,1.5
Real Property Title Group LLC,2,1.5
Red Rock Mortgage & Lending LLC,2,1.5
"ResidentCheck, Inc.",2,1.5
"Retailers' Credit Association of Grass Valley, Inc.",2,1.5
"River Ridge Financial Solutions, LLC",2,1.5
Robinson Economic Development Corporation,2,1.5
STELLAR BANCORP INC.,2,1.5
STREETER BROTHERS MORTGAGE CORPORATION,2,1.5
"SUBURBAN MORTGAGE, INC.",2,1.5
Sands Recovery Group,2,1.5
Santo Domingo Motors Inc.,2,1.5
"Scott and Goldman, Inc.",2,1.5
Security Credit Corporation,2,1.5
Seth L. Goldner PC,2,1.5
Settle It Inc.,2,1.5
Shop Your Own Corp,2,1.5
Shore View Financial Partners Inc.,2,1.5
"Sky Bridge Financial, LLC",2,1.5
"Small & Small, Attorneys PLLC",2,1.5
"Smith, Slusky, Pohren & Rogers, LLP",2,1.5
Student Debt Consolidating,2,1.5
"Suna Capital III, LLC",2,1.5
Sure Recovery Service LLC,2,1.5
TDN Acquisition Corporation,2,1.5
TOWER MORTGAGE CORPORATION,2,1.5
TRN Financial LLC,2,1.5
"The Mortgage Specialists, Inc.",2,1.5
"The Student Loan Project, Inc.",2,1.5
"The Westmoore Group, LLC",2,1.5
TitanPrep Inc,2,1.5
"UPSTATE PREMIER MORTGAGE, INC",2,1.5
US Gold Cards Inc,2,1.5
Unified Global Solutions LLC,2,1.5
"VERITEX HOLDINGS, INC.",2,1.5
Value Auto Mart Inc.,2,1.5
VanKeef Financial LLC,2,1.5
"Vellum Mortgage, Inc.",2,1.5
"WCS FUNDING GROUP, INC.",2,1.5
WHOLESALE CAPITAL CORPORATION,2,1.5
Ward Kilduff Mortgage,2,1.5
Welcome Home Finance,2,1.5
"Whitewater Recovery Solutions, LLC",2,1.5
"Williams -Williams Commercial Collections, Inc",2,1.5
Williams Starbuck,2,1.5
"ZIP CAPITAL GROUP, LLC",2,1.5
Zeidman’s Jewelry & Loan of Michigan,2,1.5
10 Cent Title Pawn Inc,2,2.0
"4finance US Holding Company, Inc.",2,2.0
"ALL FAMILY FINANCE, LLC",2,2.0
"AMERICONSULTANTS, LLC",2,2.0
"AUTOMATED RECOVERY SYSTEMS, INC",2,2.0
Able Mortgage,2,2.0
"Albert E. Acuna, P.A.",2,2.0
"All Kind Check Cashing, Inc.",2,2.0
Allarin Professional Group LLC,2,2.0
AmeriPay Corporation,2,2.0
"American Trst Company, Inc.",2,2.0
Amerivest Mortgages,2,2.0
"Apex Funding Group, Inc.",2,2.0
Asset Mediation Partners LLC,2,2.0
Atlas Acquisitions LLC,2,2.0
"Best Account Receivables Management Solutions, LLC",2,2.0
"Best Loan Service, LLC.",2,2.0
CLS Mortgage Inc.,2,2.0
"CLuisMortgages, LLC",2,2.0
"Capital Financial Group, LLC of Illinois",2,2.0
"Capstone Capital USA, LLC",2,2.0
Certified Direct Solutions,2,2.0
Certify Student Services,2,2.0
College Lending Solutions of Salem,2,2.0
Comenity Capital Bank,2,2.0
Community Home Lending,2,2.0
Cornerstone Home Mortgage,2,2.0
"Credit Reporting Services, Inc.",2,2.0
DLG LLC,2,2.0
"DeWitt Mortgage Services and Property Management, LLC",2,2.0
Digital Currency Services Inc.,2,2.0
Directors Financial Group,2,2.0
DocuService,2,2.0
Doral Capital Corporation,2,2.0
"Drake, Meyers, & Associates",2,2.0
EDULOAN DOCS,2,2.0
ERI Financial Services,2,2.0
Educational Opportunity,2,2.0
"Efron & Efron, Professional Corporation",2,2.0
Elmview Management Services,2,2.0
Emergi-Cash,2,2.0
"Equihome, LLC",2,2.0
Felhaber Larson,2,2.0
First Choice Credit Management,2,2.0
First World Mortgage Corporation,2,2.0
"Flagstone Financial Services, Inc.",2,2.0
Foundation Realty Group,2,2.0
Fowler Bell PLLC,2,2.0
Franklin Cohen and Allbright Arbitrations LLC,2,2.0
"General Recovery Services of WV, Inc.",2,2.0
"Goldman Asset Services, INC",2,2.0
Harrison Financial Group,2,2.0
"Hertzmark, Crean & Lahey, LLP.",2,2.0
"HomeKey Lending, LLC",2,2.0
"ISCC, LLC",2,2.0
Insight Financial Services LLC,2,2.0
Intelligent Mortgage and Consulting Services LLC,2,2.0
"Island Title Services, Inc.",2,2.0
"Law Office of Mark L. Nichter, PC",2,2.0
Legacy Credits,2,2.0
"MCGLONE MORTGAGE COMPANY, INC.",2,2.0
"MMG Law Group, PLLC",2,2.0
MWS Financial Services LLC,2,2.0
Medisys Ventures,2,2.0
"Metrolina Credit Co. of Burlington, INC.",2,2.0
"Mundt Law Group, LLC",2,2.0
"NJ Automotive Accounts Management Co, Inc.",2,2.0
National Auto Group LLC,2,2.0
"National Cash Lenders, LLC",2,2.0
National Loan Review Consultants Corporation,2,2.0
Nationwide Recovery Group LLC,2,2.0
NewFed Mortgage Corp,2,2.0
Nexgen Services Inc,2,2.0
"OP Group Holdings, LLC",2,2.0
Opensky Legal Services,2,2.0
"PPCC, Inc. dba Allied Collection Resources, Inc.",2,2.0
Panamerican Consulting,2,2.0
"Pettitt & Kimball, PLLC",2,2.0
"PinReid, LLC",2,2.0
"Portfolio Investment Exchange, Inc.",2,2.0
Posh RE Mortgage corporation,2,2.0
Prosperity Connection,2,2.0
"REVERSE MORTGAGE USA, INC.",2,2.0
RWLS Mortgage LLC,2,2.0
Real Estate Solutions,2,2.0
"Riverstone Law, LLC",2,2.0
"Rocky Mountain Service Bureau, Inc",2,2.0
S&S Professionals LLC,2,2.0
STATE LAW GROUP,2,2.0
"Shenandoah Legal Group, P.C.",2,2.0
"Silvermine Ventures, LLC",2,2.0
"Southwest Finance, L.L.C.",2,2.0
Student Advisor Center LLC,2,2.0
"Student Loan Freedom, LLC",2,2.0
Suffolk Consulting Group Inc,2,2.0
"Superior Home Loans, Inc.",2,2.0
TAG Financial Services Inc.,2,2.0
TRINITY CREDIT SERVICES,2,2.0
The Money Company,2,2.0
"The Wilhelm Law Group, LLC",2,2.0
The Wirbicki Law Group LLC,2,2.0
"Trebar Financial Services, Inc.",2,2.0
"Tritium Card Services, Inc., Naples, FL Branch",2,2.0
"United Mortgage Services, LLC",2,2.0
"Validify, LLC",2,2.0
Vion Holdco I LLC,2,2.0
"William J Allen, P.A.",2,2.0
Williams Kastner & Gibbs PLLC,2,2.0
"Wilner & Associates, Inc.",2,2.0
snw investments,2,2.0
"1ST CHOICE LOANS, LLC.",1,1.0
"1ST IBERIA CREDIT, INC.",1,1.0
"1st Capital Mortgage, LLC",1,1.0
"1st United Funding, LLC",1,1.0
208 Capital Holdings LLC,1,1.0
360 Mortgage Inc.,1,1.0
A P Auto Finance Inc,1,1.0
A Top Golden Lending,1,1.0
"A-1 Fast Cash of Tucker, Inc",1,1.0
A.I.T. Credit Services Inc.,1,1.0
"A.L. Babbs and Associates, LLC",1,1.0
"AAA Checkmate, L.L.C.",1,1.0
ABC First Inc,1,1.0
ACCESS TO LOANS FOR LEARNING STUDENT LOAN CORP.,1,1.0
"ACE LENDING GROUP, LLC",1,1.0
ACG FUNDING INC,1,1.0
AD Capital LLC,1,1.0
ADF Automotives LLC,1,1.0
ADVANCE MORTGAGE & INVESTMENT,1,1.0
ADVANCED COLLECTION SOLUTIONS LLC,1,1.0
AE Tradings Inc,1,1.0
AFFORDABLE MORTGAGE ADVISORS LLC,1,1.0
AGN Auto Gallery Inc,1,1.0
"AK Bell, Inc.",1,1.0
ALG,1,1.0
"ALLSTATE LENDING GROUP, INC",1,1.0
ALMA Financial Assistance Corp.,1,1.0
AMERICAN FAMILY FUNDING GROUP Inc.,1,1.0
AMERICAN MIDWEST MORTGAGE,1,1.0
"AMERICAN MORTGAGE AND INVESTMENT SERVICES, INC.",1,1.0
AML Funding LLC,1,1.0
ANDERSON FINANCIAL GROUP,1,1.0
"ANI International, Inc",1,1.0
"AR1 MORTGAGES, INC",1,1.0
"ATLANTIC COAST FINANCIAL SERVICES, INC.",1,1.0
ATM OPS Inc,1,1.0
"AXIS FINANCIAL SERVICES, INC.",1,1.0
Abbey Mortgage of Ocala Inc.,1,1.0
"Access Auto Group, Inc.",1,1.0
Accessity,1,1.0
Accountable Finance Inc,1,1.0
"Accredited Land Transfer Col, Inc.",1,1.0
Acer Capital Recovery LLC,1,1.0
"Action One Mortgage Banker, LLC",1,1.0
"Admiral Holdings, LLC",1,1.0
"Advance Title and Loans, LLC",1,1.0
Advanced Credit Management,1,1.0
"Advantage Credit Counseling Service, Inc.",1,1.0
"Advantage Financial Services of Covington, LLC",1,1.0
Aerostar Finance Inc.,1,1.0
"Affinity Mortgage, L.L.C.",1,1.0
Affordable Interest Mortgage,1,1.0
Ahn Management LLC,1,1.0
"Alantic Personnel & Tenant Screening, Inc",1,1.0
Alliance Acceptance Corp.,1,1.0
"Alliance Credit Counseling, Inc.",1,1.0
Alliant Cooperative Data Solutions,1,1.0
Allied California,1,1.0
Allies for Community Business,1,1.0
"Allison L. Friedman, P.A.",1,1.0
"Alpha Mortgage, LLC",1,1.0
"Alpine Capital Investments, LLC",1,1.0
Alternative Resource Services Inc,1,1.0
"America Trust Funding-Mortgage, Bankers LLC",1,1.0
"America's Moneyline, Inc.",1,1.0
"American Capital Mortgage, Inc",1,1.0
"American Home Funding, Inc.",1,1.0
American Mortgage Inc.,1,1.0
"American Settlement Funding, LLC",1,1.0
American Title Corp,1,1.0
American Title Managers LLC,1,1.0
American United Mortgage Corporation,1,1.0
Amigos Préstamos,1,1.0
"Amos & Muffoletto, LLC",1,1.0
"Amplify Revenue Solutions, LLC",1,1.0
"Anchor Financial, Inc.",1,1.0
"Andover Auto Sales, Inc. D.B.A. Broadway Auto Mall",1,1.0
"Andrea Visgilio-McGrath, LLC",1,1.0
Anthony J. Musto,1,1.0
Appalachian Lending Corporation,1,1.0
Applewood Funding Corporation,1,1.0
"Aristocrat Title, LLC",1,1.0
Armstrong Teasdale LLP,1,1.0
Aspen Home Mortgage Group,1,1.0
"Asset One Mortgage, Inc.",1,1.0
AssetRecoveryplus,1,1.0
"Associated Management Services, Inc..",1,1.0
"Atlantis Financial Group, Inc",1,1.0
"Atlantis National Services, Inc.",1,1.0
Audubon Solutions LLC DBA Titan Portfolio Management Group,1,1.0
Auto Loan Inc.,1,1.0
"AutoStar Finance, Inc - D/B/A Atlanta AutoStar",1,1.0
Autoflex Leasing - Dallas I LLC,1,1.0
Avanta Recovery Services,1,1.0
Avenify Corporation,1,1.0
"Azcar Capital, Inc.",1,1.0
"BCAF, Inc",1,1.0
BG Lenders Service LLC,1,1.0
BLACK MANN & GRAHAM LLP,1,1.0
"BLUE WATER CREDIT, LLC",1,1.0
BOC Capital Corp.,1,1.0
Backgrounds Online,1,1.0
Balbec Capital LP,1,1.0
Barham & Maucere LLC,1,1.0
"Barley Mortgage, LLC",1,1.0
Basil Lease Corp.,1,1.0
Bay to Bay Lending LLC,1,1.0
"Bayside Recovery Services, Inc.",1,1.0
Beacon Funding Corporation,1,1.0
"Beard & Lane, P.C.",1,1.0
Beloin & Brown LLC,1,1.0
"Bench Equity, L.L.C.",1,1.0
Benefit Mortgage,1,1.0
"Benefit Recovery Group, LLC",1,1.0
Benjamin Chaise Recovery Services LLC.,1,1.0
"Benn Realty Services, Inc.",1,1.0
Best Ride Inc,1,1.0
"Best in Funding ,Inc",1,1.0
"Bifulco and Associates, P.C.",1,1.0
"Bit Express, LLC",1,1.0
Black Equity Lending LLC,1,1.0
"Blackburn Law Office, LLC",1,1.0
Blackwood Credit Service,1,1.0
"Blue Front Financial, LLC d/b/a Ladder Loans",1,1.0
"Bluegrass Credit Corporation, Inc.",1,1.0
Blueleven Capital Corporation,1,1.0
"Blueprint Holding Co., Inc",1,1.0
Bond Corporation,1,1.0
"Boomerang Capital Partners, LLC",1,1.0
Boxwood Mortgage LLC,1,1.0
Brady & Cissne Law,1,1.0
Brady Distributing Company,1,1.0
Bragg and Associates Real Estate LLC,1,1.0
"Brewer's Quality Homes, Inc.",1,1.0
"Brian McCaffrey, Attorney At Law",1,1.0
"Brilliance Credit, LLC",1,1.0
Buckingham Mortgage LLC,1,1.0
"Buckingham, Doolittle & Burroughs, LLC",1,1.0
"Bullet Recovery, LLC.",1,1.0
"Burns & Carlisle, Inc.",1,1.0
"Burt, Blee, Dixon, Sutton & Bloom, LLP",1,1.0
"Byers Law, LLC",1,1.0
"C & A Mortgage Services of Florence, Inc.",1,1.0
"C&I Financial, Inc.",1,1.0
C. Edwin Walker Attorney at Law,1,1.0
"CAPITOL TITLE INSURANCE AGENCY, INC.",1,1.0
CARILION CLINIC,1,1.0
CAROLINA FINANCIAL OF BEAUFORT INC.,1,1.0
"CASH, INC.",1,1.0
"CB Collections, Inc.",1,1.0
CBC Holdings LLC,1,1.0
CENTENNIAL LENDING GROUP LLC,1,1.0
"CHECK COLLECTION OF AMERICA, INC.",1,1.0
CHEXTOP of America Inc.,1,1.0
CITY CREDIT CORPORATION,1,1.0
"CLA Co, Inc.",1,1.0
"CLAYTON AUTOS, INC",1,1.0
"CMD Investment Group, Inc.",1,1.0
"CNC MORTGAGE, LLC",1,1.0
"CNG Investments, Inc",1,1.0
CNJ Enterprises LLC DBA Legal-Bay LLC,1,1.0
"CONVERGING CAPITAL, LLC",1,1.0
"COUNTRY CLUB MORTGAGE, INC.",1,1.0
"CREDIT BUREAU OF LANCASTER & PALMDALE, A CORPORATION",1,1.0
CRL Home Loans,1,1.0
CSI Mortgage Corporation,1,1.0
CWI INC,1,1.0
Cajie LLC,1,1.0
Cal-Tenn Financial LLC,1,1.0
